time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
72,2000-12-11,0,9.627729,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
73,2000-12-12,0.3578,9.061392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
74,2000-12-13,0,8.211886,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
75,2000-12-14,0.0283,8.211886,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
76,2000-12-15,0.0038,8.495055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
77,2000-12-16,1e-4,7.362381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
78,2000-12-17,0,7.079212,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
79,2000-12-18,0,6.796044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
80,2000-12-19,0,6.512875,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
81,2000-12-20,0,6.229707,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
82,2000-12-21,0,6.512875,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
83,2000-12-22,0,6.512875,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
84,2000-12-23,0,6.796044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
85,2000-12-24,0,6.796044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
86,2000-12-25,0,6.512875,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
87,2000-12-26,0,8.211886,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
88,2000-12-27,0,4.247527,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
89,2000-12-28,0,4.247527,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
90,2000-12-29,0,4.247527,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
91,2000-12-30,0,4.247527,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
92,2000-12-31,0,4.247527,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
93,2001-01-01,0,3.964359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
94,2001-01-02,0,3.68119,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
95,2001-01-03,0.0546,3.398022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
96,2001-01-04,0,3.398022,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
97,2001-01-05,0,3.68119,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
98,2001-01-06,0,3.964359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
99,2001-01-07,0,3.964359,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
100,2001-01-08,10.4653,12.176246,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
101,2001-01-09,0.6498,11.32674,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
102,2001-01-10,26.8955,1585.7436,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
103,2001-01-11,114.9062,906.1392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
